CÓDIGO BIC,ID_REGAGE,MUNICIPIO,PROVINCIA,BIEN,DIRECCIÓN/LUGAR,X,Y,CATEGORÍA,FECHA DECLARACIÓN,FECHA DIARIO,FECHA BOLETÍN,HAY DATOS,ENTREGADO
,,Columna1,Columna7,Columna2,Columna8,Columna9,Columna10,Columna3,Columna12,Columna13,Columna14,,
6931,(R.I.) - 51 - 0004212 - 00000,BELVÍS DE MONROY,CÁCERES,Iglesia Parroquial de Santiago Apóstol,"Calle de la Iglesia, 2 CP. 10394",276537,4411035,Monumento,ORDEN 3 de febrero de 1973,,BOE: 06-04-1976,,1
,,BELVÍS DE MONROY,CÁCERES,Castillo,"C. de la Iglesia, s/n, CP. 10394",276420,4411038,Monumento,,,17/02/1983,,
8185,(R.I.) - 51 – 0005418 - 00000,BERLANGA,BADAJOZ,Iglesia Parroquial Ntra. Sra. de Gracia,"Calle Iglesia, 14A CP. 06930",252273,4240922,Monumento,"DECRETO 63/1991, de 23 julio",DOE: 30-07-1991,,,
6979,(R.I.) - 51 - 0004258 - 00000,BERZOCANA,CÁCERES,Iglesia parroquial de  San Juan Bautista,"Calle San Fulgencio, 18 CP. 10129",288211,4368277,Monumento,"DECRETO 15/2024, de 20 febrero",DOE: 26-02-2024,,, 
7716,(R.I.) - 51 – 0004953 - 00000,BIENVENIDA,BADAJOZ,Iglesia Ntra. Sra. de los Ángeles,"Plaza España, 3 CP. 06250",219262,4243848,Monumento,DECRETO 3182/1983 de 19 octubre,,BOE: 27-12-1983,,
16624,(R.I.) - 55 – 0000015 - 00000,BOHONAL DE IBOR,CÁCERES,Ruinas romanas de Talavera la Vieja (Augustóbriga),Polígono 3 parcela 1. Embalse Valdecañas CP. 10320,287507,4409271,Monumento,,,LA GACETA: 04-06-1931,,
29439,,"BOTIJA, PLASENZUELA Y CÁCERES",CÁCERES,"Yacimiento arqueológico de Villasviejas del Tamuja y necrópolis de El Mercadillo, el Romazal  I y El Romazal II","Polígono 1, parcela 17 Villas Viejas CP. 10188",234022,4361695,Zona Arqueológica,"DECRETO 92/2016, de 5 julio",DOE: 11-07-2016,BOE: 14-11-2016,,
9606,R-I-51-0006836-00000,BROZAS,CÁCERES,Iglesia Parroquial de la Asunción,"Plaza Príncipe de Asturias, 22 , CP. 10. 950",175488,4391513,Monumento,"REAL DECRETO 1369/1988, de 11 noviembre",,BOE:16-11-1988,,
29437,,BROZAS,CÁCERES,Conjunto Histórico. Patrimonio Histórico-Artístico de Brozas,"Plaza Príncipe de Asturias, 1 CP. 10950",175582,4391293,Conjunto Histórico,"DECRETO 148/2013, de 13 septiembre",DOE: 19-09-2016,BOE: 14-10-2016,,
15962,(R.I.) - 53 – 0000370 - 00000,BURGUILLOS DEL CERRO,BADAJOZ,Conjunto Histórico,"Plaza Altozano, 4 CP. 06370",186207,4254435,Conjunto Histórico,"DECRETO 54/1998, de 21 abril",DOE: 28-04-1998,BOE: 09-06-1998,,
9765,A-R-I-51-0006996-00000,CABEZA DEL BUEY,BADAJOZ,Santuario de Nuestra Señora de Belén,Carretera Cabeza del Buey CP. 06600,297932,4286719,Monumento,"DECRETO 168/2017, de 17 octubre",DOE: 23-10-2017,BOE: 10-01-2018,,
30159,,CABEZA DEL BUEY,BADAJOZ,El Sermón de la Pasión,"Plaza de España, 1 CP. 06600","307357,56","4288395,5",Patrimonio Cultural Inmaterial,"DECRETO 90/2021, de 21 julio",DOE: 27-06-2021,BOE: 08-10-2021,,
15937,R-I-53-0000345-00000,CABEZUELA DEL VALLE,CÁCERES,Conjunto Histórico,"Avenida Plaza de Extremadura, 9 CP. 10610",261069,4453021,Conjunto Histórico,"DECRETO 55/1998, de 21 abril",DOE: 09-06-1998,BOE: 09-06-1998,,
6984,(R.I.) - 51 – 0004263 - 00000,CÁCERES,CÁCERES,Palacio de los Golfines de Arriba,"Calle Olmos, 2 CP. 10003",209933,4374725,Monumento,"REAL DECRETO 3594/1977, de 18 diciembre",,BOE: 30-01-1978,,
28171,28171,CÁCERES,CÁCERES,Palacio Carvajal,"Calle Amargura, 1 CP. 10003",210139,4374882,Monumento,"DECRETO 69/2012, de 27 abril",DOE: 04-05-2012,BOE: 11-07-2012,,
8212,A.R.I. - 51 – 0005444 - 00000,CÁCERES,CÁCERES,Plaza de Toros,"Plaza Regimiento de Argel, Plaza de toros, s/n CP. 10004",209655,4375524,Monumento,DECRETO 10 marzo 1992,DOE: 17-003-1992,,,
16626,A.R.I. - 55 – 0000017 - 00000,CÁCERES,CÁCERES,Ruinas romanas “Cáceres el Viejo”,"Carretera Extremadura 390, km. 2,5 CP. 10004",211890,4377472,Monumento,,,LA GACETA: 04-06-1931,,
10043,(R.I.) - 51 - 0007267 - 00000,CÁCERES,CÁCERES,Palacio de la Camarena,"Calle General Ezponda, 9 CP. 10003",209901,4375001,Monumento,"DECRETO 94/1992, de 30 junio",DOE: 09-07-1992,,,
4038,R-I-51-0001337,CÁCERES,CÁCERES,Museo de Bellas Artes,"Calle Barrio San Antonio, 14 CP. 10003",210125,4374663,Monumento,01/03/1962,,09/03/1962,,
,(R.I.) - AR -0000489-00000,CÁCERES,CÁCERES,Casa de las Veletas,"Cjón. del Gallo, CP. 10003",210083,4374653,Monumento,,,LA GACETA: 04-06-1931,,
9769,(R.I.) - 51 - 0007000 - 00000,CÁCERES,CÁCERES,Oratorio-Enfermería San Pedro de Alcántara,"Plaza de la Audiencia, 2 CP. 10003",210161,4375129,Monumento,"REAL DECRETO 1558/1990, de 30 noviembre",DOE:,BOE: 4-12-1990,,
,(R.I.) - AR-0000021-00000,CÁCERES,CÁCERES,Archivo Histórico Provincial,"Plaza Conde de Canilleros, 1 CP. 10003",210081,4374959,Monumento,,,BOE: 29-06-1985,,
3137,A.R.I. - 51 – 0000480 - 00000,CÁCERES,CÁCERES,Palacio de los Golfines de Abajo,"Plaza Golfines, 1 CP. 10003",210138,4374795,Monumento,,,LA GACETA: 04-06-1931,,
3139,(R.I.) - 51 - 0000490 - 00000,CÁCERES,CÁCERES,Casa Mudéjar (Casa morisca),"Cuesta de Aldana, 14 CP. 10003",209956,4374763,Monumento,,,LA GACETA: 04-06-1931,,
16623,(R.I.) - 51-0000351-00000,CÁCERES,CÁCERES,Murallas,,,,Monumento,,,LA GACETA: 27-08-1930,,
17758,,CÁCERES,CÁCERES,Poblado Minero “Aldea Moret”,,"208218,3","4371765,97",Lugar de Interés Etnológico,"DECRETO 92/2011, de 20 mayo",DOE: 27-05-2011,BOE: 16-06-2011,,
