CÓDIGO BIC,ID_REGAGE,MUNICIPIO,PROVINCIA,BIEN,DIRECCIÓN/LUGAR,X,Y,CATEGORÍA,FECHA DECLARACIÓN,FECHA DIARIO,FECHA BOLETÍN,HAY DATOS,ENTREGADO
,,Columna1,Columna7,Columna2,Columna8,Columna9,Columna10,Columna3,Columna12,Columna13,Columna14,,
3816,(R.I.) - 51 - 0001127 - 00000,TRUJILLO,CÁCERES,Templo de Santa María la Mayor,"Plaza de los Moritos, 9  CP. 10.200",252853,4371874,Monumento,,,BOE: 03-03-1969,,
7799,(R.I.) - 51 - 0005033 - 00000,TRUJILLO,CÁCERES,Casa-palacio del Marqués de la Conquista,"Plaza Mayor, 1 CP. 10.200",252061,4371805,Monumento,"REAL DECRETO 1454/1987, de 27 noviembre",,BOE 28-11-1987,,
,(R.I.) - 51 - 0006854 - 00000,TRUJILLO,CÁCERES,Palacio Juan Pizarro de Orellana,"Plaza Juan de Tena, 1 CP. 10.200",252000,4371796,Monumento,"REAL DECRETO 196/1989, de 17 febrero",,BOE: 25-02-1989,,
9954,(R.I.) - 51 - 0007178 - 00000,TRUJILLO,CÁCERES,Palacio Viejo o de la Cadena y Anejos,Polígono 24 Parcela 269 CP. 10292,252041,4371882,Monumento,"DECRETO 1/1992, de 14 enero",,BOE: 21-01-1992,,
15584,R-I-53-0000034-00000,TRUJILLO,CÁCERES,Conjunto Histórico,Paseo de Jacinto Ruiz de Mendoza s/n CP. 10.200,252106,4371841,Monumento,"DECRETO 2223/1962, de 5 septiembre",,BOE : 07-09-1962,,
7263,(R.I.) - 51 - 0004532 - 00000,VALENCIA DE ALCÁNTARA,CÁCERES,Iglesia de Nuestra Señora de Rocamador,"Calle Rocamador, 1 CP. 10.500",134904,4371153,Monumento,"REAL DECRETO 3312/1981, de 30 octubre",,BOE: 18-01-1982,,
16073,R-I-53-0000480-00000,VALENCIA DE ALCÁNTARA,CÁCERES,Barrio Gótico de Valencia de Alcántara,"Plaza de la Constitución, 1 CP. 10500",134746,4371287,Conjunto Histórico,"DECRETO 38/1997, de 18 marzo",DOE: 25-03-1997,BOE  12-05-1997,,
16993,R-I-55-0000377-00000,VALENCIA DE ALCÁNTARA,CÁCERES,Conjunto de Dólmenes,,"132412,96","4368867,43",Zona Arqueológica,"DECRETO 51/1992, de 5 mayo",DOE: 14-05-1992,,,
28570,,VALLE DE LA SERENA,BADAJOZ,Las Eras del Lejío,,256119,4288076,Lugar de Interés Etnológico,"DECRETO 32/2013, de 12 marzo",DOE: 19-03-2013,BOE: 15-04-2013,,
30129,,VALVERDE DE BURGUILLOS,BADAJOZ,La Cultura del Agua,Calle Charco CP. 06378,"190768,38","4247865,66",Lugar de Interés Etnológico,"Decreto 10/2020, de 4 de marzo",DOE: 10-03-2020,BOE: 23-04-2020,,
15697,R-I-53-0000120-00000,VALVERDE DE LA VERA,CÁCERES,Conjunto Histórico,"Plaza de España, 3 CP. 10.490",287434,4444371,Conjunto Histórico,30-12-71,,BOE: 02-02-1971,,
30138,,VALVERDE DE LEGANÉS,BADAJOZ,Convento de la Madre de Dios,,"150860,49","4288018,75",Monumento,"Decreto 80/2020, de 23 de diciembre, ",DOE: 30-12-2020,BOE: 20-03-2021,,
147431-147451,,VARIOS TÉRMINOS,CACERES/BADAJOZ,Paneles de azulejos de Nitrato de Chile,,,,Bien Mueble,DECRETO 73/2023 de 28 junio,DOE: 04-07-2023-,BOE:,,
30130,,VARIOS TÉRMINOS (VALENCIA DEL VENTOSO Y FREGENAL DE LA SIERRA),BADAJOZ,Menhires de la cuenca del Ardila,"Polígono 18, parcela 7 Bastranca CP. 06340;                 Polígono 19, parcela 77 CP. 06330","195751,84",4241046.43,Zona Arqueológica,"DECRETO 16/2020, de 11 marzo",DOE: 17-03-2020,BOE: 29-05-2020,,
30050,(A.R.I.) - 51 -0007055 - 00000,VARIOS TÉRMINOS-JARAICEJO Y TORRECILLAS DE LA TIESA,CÁCERES,Puente del Cardenal,,"258267,31",4392481,Monumento,"DECRETO 172/2019, de 5 noviembre",DOE: 11-11-2013,BOE: 03-12-2019,,
2357,1302,VILLAFRANCA DE LOS BARROS,BADAJOZ,Iglesia Parroquial Ntra. Sra. del Valle,"Plaza España, 1 CP. 06220",208996,4273370,Monumento,"DECRETO 212/2014, 9 de septiembre",DOE: 15-09-2014,BOE: 23-10-2014,,
8219,R-I-51-0005450-00000,VILLAFRANCA DE LOS BARROS,BADAJOZ,Antigua Fábrica de las harinas,"Calle Maestro Soler, 16 CP. 06220",208500,4273502,Monumento,"DECRETO 133/1994, de 14 febrerero",DOE: 22-11-1994,,,
7450,(R.I.) - 51 - 0004704 - 00000,VILLAMIEL,CÁCERES,Iglesia y Espadaña de Trevejo,"Polígono 24, parcela 200 y 201  CP. 10.894",178049,4453807,Monumento,27-9-82,,20-11-82,,
30171,,VILLANUEVA DE LA SERENA,BADAJOZ,iglesia parroquial de Nuestra Señora de la Asunción," Pl. de España, 8, CP. 06700","257454,18","4317634,16",Monumento,"DECRETO 125/2021, de 3 noviembre",9-11-2021,BOE: 19-04-2022,,
29761,,VILLANUEVA DE LA SIERRA,CÁCERES,Fiesta del Árbol,Plaza de España 1 CP. 10812,"210091,26","4455577,67",Patrimonio Inmaterial,"DECRETO 103/2017, de 4 de julio",DOE: 10-07-2017,,,
15867,(R.I.) - 53 – 0000277 - 00000,VILLANUEVA DE LA VERA,CÁCERES,Conjunto Histórico,"Plaza Aniceto Mariñas, 1 CP. 10470",290191,4444982,Monumento,15-12-82,,BOE: 26-01-1983,,
16413,(R.I.) - 54 – 0000075-00000,VILLAR DEL REY,BADAJOZ,Pozo de la Nieve,"Camino del Pozo de las Nieves, 2 CP. 06192",167015,4338224,Sitio Histórico,2-8-94,,DOE: 11-08-1994,,
15628,(R.I.) - 53 - 0000060-00000,ZAFRA,BADAJOZ,Conjunto Histórico,"Plaza Pilar Redondo, 1 CP. 06300",201490,4258590,Conjunto Histórico,DECRETO 1505/1965 de 20 mayo,,BOE: 08-06-1965,,
3047,(R.I.) - 51 - 0000401-00000,ZAFRA,BADAJOZ,Alcázar,"Plaza Corazón de María, 7 CP. 06300",201715,4258395,Monumento,3-6-31,,LA GACETA:04-06-1931,,
8092,(R.I.) - 51 - 0005325-00000,ZAFRA,BADAJOZ,Iglesia Parroquial de Santa Marina,"Calle Santa Marina, 6 CP. 06300",201652,4258353,Monumento,2-9-88,,BOE:08-09-1988,,
7738,(R.I.) - 51 - 0004975-00000,ZAFRA,BADAJOZ,Convento de Santa Clara,"Calle Sevilla, 30 CP. 06300",201517,4258396,Monumento,16-11-83,,BOE:17-02-1984,,
28657,,ZAFRA,BADAJOZ,Hospital de San Miguel,"Calle San José, 17 CP. 06300",201532,4258776,Monumento,,,BOE:29-11-2013,,
3041,(R.I.) - 51 - 0000395 - 00000,ZALAMEA DE LA SERENA,BADAJOZ,Ruinas Romanas,"Plaza Constitución, 1 CP. 06430",268460,4281332,Monumento,3-6-31,,LA GACETA: 04-06-1931,,
16853,(R.I.) - 55 - 0000239 - 00000,ZALAMEA DE LA SERENA,BADAJOZ,Yacimiento Arqueológico “Cancho Roano”,"Carretera EX-114, km. 3 CP. 06430",266420,4287032,Zona Arqueológica,10-2-89,,BOE: 14-02-1989,,
7969,R-I-51-0005203-00000,ZARZA LA MAYOR,CÁCERES,Fuente Conceja,"Polígono 5, parcela 31 CP. 10.880",169341,4421122,Monumento,"REAL DECRETO 169/1988, de 26 febrero",,BOE: 01-03-1988,,
